2026-04-21T07:27:16 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:24 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T08:49:54 INFO    src.vector: done index_url in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_url('https://example.com/post')
2026-04-21T08:49:54 INFO    src.vector: index_url: 1 chunks indexed from https://example.com/post
2026-04-21T08:49:54 INFO    src.vector: done index_url in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call retrieve('elephant')
2026-04-21T08:49:54 INFO    src.vector: done retrieve in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_url('https://broken')
2026-04-21T08:49:54 WARNING src.vector: index_url: scrape error for https://broken — timeout
2026-04-21T08:49:54 INFO    src.vector: done index_url in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_url('https://empty')
2026-04-21T08:49:54 WARNING src.vector: index_url: no text extracted from https://empty
2026-04-21T08:49:54 INFO    src.vector: done index_url in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('some text', 's')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('content', 's')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:50:12 INFO    __main__: call demo_pipeline('hello world')
2026-04-21T08:50:12 INFO    __main__: call demo_pipeline.<locals>.step(0)
2026-04-21T08:50:12 INFO    __main__: done demo_pipeline.<locals>.step in 0.00s
2026-04-21T08:50:12 INFO    __main__: call demo_pipeline.<locals>.step(1)
2026-04-21T08:50:12 INFO    __main__: done demo_pipeline.<locals>.step in 0.00s
2026-04-21T08:50:12 INFO    __main__: call demo_pipeline.<locals>.step(2)
2026-04-21T08:50:12 INFO    __main__: done demo_pipeline.<locals>.step in 0.00s
2026-04-21T08:50:12 INFO    __main__: done demo_pipeline in 0.00s
2026-04-21T08:52:05 INFO    src.tools: call list_models()
2026-04-21T08:52:05 INFO    src.tools: done list_models in 0.73s
2026-04-21T08:52:31 INFO    src.tools: call list_models()
2026-04-21T08:52:31 INFO    src.tools: done list_models in 0.48s
2026-04-21T08:52:32 INFO    src.tools: call list_models()
2026-04-21T08:52:32 INFO    src.tools: done list_models in 0.49s
2026-04-21T08:52:47 INFO    src.tools: call list_models()
2026-04-21T08:52:48 INFO    src.tools: done list_models in 0.82s
2026-04-21T08:52:48 INFO    __main__: turn start: session=387e1f73-88fc-483a-bc30-3bfd69c46701 model=gemma3:latest file=None input='index this site https://fitgirl-repacks.site'
2026-04-21T08:52:48 INFO    src.agent: call run_router(user_input='index this site https://fitgirl-repacks.site', file_path=None, session_id='387e1f73-88fc-483a-bc30-3bfd69c46701', model='gemma3:latest')
2026-04-21T08:52:49 INFO    src.agent: agent start: input='index this site https://fitgirl-repacks.site' file=None history=4
2026-04-21T08:52:50 WARNING src.agent: model gemma3:latest has no tool support — falling back to plain chat
2026-04-21T08:53:13 INFO    src.agent: done run_router in 25.19s
2026-04-21T08:53:13 INFO    __main__: turn done: session=387e1f73-88fc-483a-bc30-3bfd69c46701 reply_chars=4888
2026-04-21T08:53:52 INFO    src.tools: call list_models()
2026-04-21T08:53:53 INFO    src.tools: done list_models in 0.86s
2026-04-21T08:53:53 INFO    __main__: turn start: session=387e1f73-88fc-483a-bc30-3bfd69c46701 model=gemma3:latest file=None input='index -> https://www.skidrowreloaded.com/'
2026-04-21T08:53:53 INFO    src.agent: call run_router(user_input='index -> https://www.skidrowreloaded.com/', file_path=None, session_id='387e1f73-88fc-483a-bc30-3bfd69c46701', model='gemma3:latest')
2026-04-21T08:53:54 INFO    src.agent: agent start: input='index -> https://www.skidrowreloaded.com/' file=None history=6
2026-04-21T08:53:55 WARNING src.agent: model gemma3:latest has no tool support — falling back to plain chat
2026-04-21T08:54:17 INFO    src.agent: done run_router in 23.98s
2026-04-21T08:54:17 INFO    __main__: turn done: session=387e1f73-88fc-483a-bc30-3bfd69c46701 reply_chars=5356
2026-04-21T09:02:42 INFO    src.agent: call run_router('what is 2+2?', model='test')
2026-04-21T09:02:42 INFO    src.agent: agent start: input='what is 2+2?' file=None history=0
2026-04-21T09:02:42 INFO    src.agent: agent done: total_msgs=1 tool_calls=0 tools=[] final_chars=19
2026-04-21T09:02:42 INFO    src.agent: done run_router in 0.00s
2026-04-21T09:02:42 INFO    src.agent: call run_router('hello world', model='test')
2026-04-21T09:02:42 INFO    src.agent: agent start: input='hello world' file=None history=0
2026-04-21T09:02:42 INFO    src.agent: agent done: total_msgs=1 tool_calls=0 tools=[] final_chars=12
2026-04-21T09:02:42 INFO    src.agent: done run_router in 0.01s
2026-04-21T09:02:42 INFO    src.agent: call run_router('new question', session_id='sid', model='test')
2026-04-21T09:02:42 INFO    src.agent: agent start: input='new question' file=None history=2
